@relation 808100

@attribute follower numeric
@attribute followed numeric
@attribute favcount numeric
@attribute defaultimage {false,true}
@attribute lengthUserName numeric
@attribute lengthDescName numeric
@attribute ratioFollowerFollowed numeric
@attribute getReputation numeric
@attribute AgeOfAccount numeric
@attribute FollowingRate numeric
@attribute CountOfTweets numeric
@attribute NumberOfTPerDay numeric
@attribute AvgLinkCount numeric
@attribute AvgRTCount numeric
@attribute AvgHTCount numeric
@attribute AvgFavCount numeric
@attribute AvgDDifference numeric
@attribute AvgNOfChars numeric
@attribute AvgNOfWords numeric
@attribute AvgNOfCapitalization numeric
@attribute AvgNOfQuestionMark numeric
@attribute AvgNOfExclamationMark numeric
@attribute AvgNOfDotMark numeric
@attribute AvgMaxWordLength numeric
@attribute AvgNOfWhiteSpaces numeric
@attribute AvgMeanWordLength numeric
@attribute Type {Human,Bot}

@data
8442872,41,419,false,9,33,205923,0.999995,69352,121.739416,2862,0.990654,6.93458,0.297,1068.29,0.0511,1927.08,1428199940,95.2067,16.354,6.3424,0.028,0.1116,1.4264,15.6422,5.99284,Human
684039,807,7605,false,6,121,847,0.998822,60993,11.215041,22841,8.98898,62.9229,0.1461,519.934,0.0442,416.503,1477389950,70.1869,13.1477,5.2759,0.0689,0.0726,0.5845,15.211,6.14898,Human
4399,1972,2904,false,16,142,2,0.690472,56463,0.077909,2304,0.979592,6.85714,0.5928,3.8905,0.3512,1.9118,1434690050,115.635,20.1691,8.123,0.1678,0.3047,1.6306,18.6849,6.14072,Human
727875,9532,38420,false,12,4,76,0.987074,63932,11.385144,22869,8.58768,60.1138,0.2851,503.711,0.2576,616.648,1464989950,77.3349,12.8576,8.2757,0.0826,0.7571,1.1606,17.2228,6.66606,Human
139336,588,7833,false,15,155,236,0.995798,22242,6.264545,4141,4.47192,31.3035,0.3598,650.727,0.301,28.1363,1470710020,92.2561,14.7523,7.8036,0.0784,0.3884,1.6732,18.3859,7.43729,Human
17822820,95,783,false,12,54,187608,0.999995,72546,245.676123,7312,2.41959,16.9371,0.4382,577.802,0.9328,881.476,1422259970,99.6261,16.5974,11.1053,0.0615,1.2257,1.3931,20.2383,7.30422,Human
36599694,279,148,false,13,0,131181,0.999992,72477,504.983567,12026,3.98344,27.8841,0.1405,296.388,0.7052,626.286,1438150020,90.4403,14.3431,8.828,0.1237,0.4275,1.5419,16.1502,6.22191,Human
67228576,36132,430,false,15,115,1860,0.999463,76376,880.231696,14176,4.45506,31.1854,0.5214,3004.61,0.3244,7650.35,1468489980,96.3241,18.0102,8.8061,0.0931,0.3055,2.272,21.1638,6.77403,Human
28546428,45,48,false,15,46,634365,0.999998,71182,401.034363,34830,11.747,82.2293,0.3082,12007.3,0.3883,40030.1,1474800000,116.009,19.7012,11.4685,0.0508,0.6709,1.6257,17.466,6.57838,Human
1142872,13819,17267,false,9,43,82,0.988053,30183,37.864758,7668,6.10024,42.7017,0.3115,784.441,0.3181,1066.54,1479570050,88.5212,14.7303,10.6845,0.0631,1.0769,0.9281,19.2355,6.96471,Human
